# Sim v1 (Up to date)
# 3375 data points written for 58 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (68,5 m/s):  "Iris Ultra Compact Parachute [Cd 2.2 (16.3 oz) 90.5 in^3]"
#
# Temps (s),Altitude (m),Altitude above sea level (m),Vitesse verticale (m/s),Vitesse totale (m/s),Accélération verticale (m/s²),Accélération totale (m/s²),Position à l'est du lancement (m),Position au nord du lancement (m),Distance latérale (m),Direction latérale (°),Vitesse latérale (m/s),Accélération latérale (m/s²),Latitude (° N),Longitude (° E),Angle d'attaque (°),Taux de roulis (°/s),Taux de tangage (°/s),Taux d'embardée (°/s),Orientation verticale (zénith) (°),Orientation latérale (azimut) (°),Masse (g),Masse du propergol (g),Moment d'inertie longitudinale (kg·m²),Moment d'inertie rotatif (kg·m²),Accélération Gravitationnelle (m/s²),Emplacement du CP (cm),Emplacement du CG (cm),Calibres marge de stabilité (​),Poussée (N),Thrust-to-weight ratio (​),Force de traînée (N),Coefficient de traînée (​),Coefficient de traînée de friction (​),Coefficient de traînée de pression (​),Coefficient de traînée de base (​),Coefficient de trainée axiale (​),Coefficient de force normale (​),Coefficient de moment de tangage (​),Coefficient de moment d'embardée  (​),Coefficient de force latérale  (​),Coefficient de moment de roulis  (​),Coefficient de forçage de roulis (​),Coefficient d'amortissement de roulis (​),Coefficient d'amortissement de tangage (​),Vitesse de vent (m/s),Wind direction (°),Température de l'air (°C),Pression atmosphérique (mbar),Air density (g/cm³),Vitesse du son (m/s),Mach number (​),Nombre de Reynolds (​),Longueur de référence (cm),Surface de référence (cm²),Pas de simulation du temps (s),Temps de calcul (s),Accélération de Coriolis (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
456.911,1662.634,1662.634,-5.253,5.675,0.001,0.271,1808.28,2.109,1808.281,89.933,2.146,0.271,28.61,-80.581,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.751,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.292,90,4.193,829.099,0.001,333.84,0.016,8.904e5,15,176.715,0.268,0.69,7.419e-4
457.18,1661.223,1661.223,-5.253,5.702,-3.269e-4,0.202,1807.694,2.109,1807.696,89.933,2.219,0.202,28.61,-80.581,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.7,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.111,90,4.202,829.242,0.001,333.845,0.016,8.902e5,15,176.715,0.268,0.69,7.464e-4
457.448,1659.813,1659.813,-5.253,5.682,0.002,0.228,1807.106,2.109,1807.107,89.933,2.165,0.228,28.61,-80.581,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.742,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.043,90,4.211,829.384,0.001,333.851,0.016,8.904e5,15,176.715,0.268,0.69,7.43e-4
457.717,1658.403,1658.403,-5.253,5.658,-0.001,0.074,1806.533,2.109,1806.534,89.933,2.104,0.074,28.61,-80.581,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.663,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.064,90,4.22,829.527,0.001,333.856,0.016,8.902e5,15,176.715,0.268,0.69,7.392e-4
457.985,1656.994,1656.994,-5.253,5.651,0.002,0.131,1805.971,2.109,1805.972,89.933,2.084,0.131,28.61,-80.581,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.717,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.014,90,4.23,829.67,0.001,333.862,0.016,8.904e5,15,176.715,0.268,0.69,7.38e-4
458.253,1655.584,1655.584,-5.252,5.638,0.01,0.422,1805.417,2.109,1805.418,89.933,2.049,0.422,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.954,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.823,90,4.239,829.812,0.001,333.868,0.016,8.912e5,15,176.715,0.268,0.69,7.359e-4
458.522,1654.175,1654.175,-5.25,5.595,0.014,0.649,1804.882,2.109,1804.884,89.933,1.935,0.649,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,148.205,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.588,90,4.248,829.955,0.001,333.873,0.016,8.92e5,15,176.715,0.268,0.69,7.29e-4
458.79,1652.767,1652.767,-5.246,5.534,0.017,0.85,1804.386,2.109,1804.387,89.933,1.761,0.85,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,148.478,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.307,90,4.257,830.098,0.001,333.879,0.016,8.928e5,15,176.715,0.269,0.69,7.191e-4
459.059,1651.358,1651.358,-5.242,5.461,-0.034,0.139,1803.944,2.109,1803.945,89.933,1.533,0.135,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.172,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.606,90,4.266,830.24,0.001,333.884,0.016,8.889e5,15,176.715,0.269,0.69,7.074e-4
459.327,1649.948,1649.948,-5.251,5.48,9.774e-4,0.102,1803.527,2.109,1803.528,89.933,1.569,0.102,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.698,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.515,90,4.275,830.383,0.001,333.89,0.016,8.905e5,15,176.715,0.268,0.69,7.102e-4
459.596,1648.54,1648.54,-5.251,5.472,0.004,0.254,1803.11,2.109,1803.111,89.933,1.542,0.254,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.788,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.678,90,4.284,830.525,0.001,333.895,0.016,8.909e5,15,176.715,0.268,0.69,7.089e-4
459.864,1647.132,1647.132,-5.25,5.491,0.021,0.671,1802.687,2.109,1802.688,89.933,1.61,0.67,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,148.337,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.969,90,4.294,830.668,0.001,333.901,0.016,8.925e5,15,176.715,0.268,0.691,7.119e-4
460.132,1645.724,1645.724,-5.244,5.541,-0.021,0.105,1802.231,2.109,1802.232,89.933,1.79,0.103,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.367,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.735,90,4.303,830.81,0.001,333.906,0.016,8.897e5,15,176.715,0.268,0.691,7.204e-4
460.401,1644.316,1644.316,-5.25,5.537,0.001,0.095,1801.754,2.109,1801.755,89.933,1.762,0.095,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.702,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.712,90,4.312,830.953,0.001,333.912,0.016,8.907e5,15,176.715,0.268,0.691,7.196e-4
460.669,1642.908,1642.908,-5.249,5.529,0.002,0.136,1801.285,2.109,1801.286,89.933,1.737,0.136,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.718,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.81,90,4.321,831.095,0.001,333.917,0.016,8.908e5,15,176.715,0.268,0.691,7.182e-4
460.937,1641.5,1641.5,-5.249,5.54,0.004,0.274,1800.815,2.109,1800.816,89.933,1.773,0.274,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.798,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.92,90,4.33,831.238,0.001,333.923,0.016,8.911e5,15,176.715,0.268,0.691,7.2e-4
461.205,1640.093,1640.093,-5.248,5.563,-0.001,0.154,1800.329,2.109,1800.33,89.933,1.847,0.154,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.675,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.929,90,4.339,831.38,0.001,333.929,0.016,8.907e5,15,176.715,0.268,0.691,7.238e-4
461.473,1638.686,1638.686,-5.248,5.577,0.023,0.666,1799.829,2.109,1799.83,89.933,1.888,0.665,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,148.358,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.244,90,4.349,831.523,0.001,333.934,0.016,8.928e5,15,176.715,0.268,0.691,7.261e-4
461.741,1637.28,1637.28,-5.242,5.634,0.007,0.744,1799.299,2.109,1799.3,89.933,2.066,0.744,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,148.207,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.464,90,4.358,831.665,0.001,333.94,0.016,8.924e5,15,176.715,0.268,0.691,7.357e-4
462.01,1635.873,1635.873,-5.24,5.709,-0.025,0.164,1798.717,2.109,1798.718,89.933,2.266,0.162,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.312,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.353,90,4.367,831.808,0.001,333.945,0.016,8.898e5,15,176.715,0.268,0.691,7.479e-4
462.278,1634.466,1634.466,-5.247,5.732,0.001,0.16,1798.103,2.109,1798.104,89.933,2.309,0.16,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.714,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.224,90,4.376,831.95,0.001,333.951,0.016,8.91e5,15,176.715,0.268,0.692,7.515e-4
462.546,1633.059,1633.059,-5.246,5.715,8.526e-4,0.127,1797.49,2.109,1797.491,89.933,2.266,0.127,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.7,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.199,90,4.385,832.092,0.001,333.956,0.016,8.91e5,15,176.715,0.268,0.692,7.486e-4
462.814,1631.653,1631.653,-5.246,5.701,0.002,0.16,1796.887,2.109,1796.888,89.933,2.232,0.16,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.722,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.147,90,4.394,832.235,0.001,333.962,0.016,8.911e5,15,176.715,0.268,0.692,7.464e-4
463.082,1630.247,1630.247,-5.246,5.684,0.002,0.173,1796.294,2.109,1796.296,89.933,2.189,0.173,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.722,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.097,90,4.403,832.377,0.001,333.967,0.016,8.912e5,15,176.715,0.268,0.692,7.437e-4
463.35,1628.841,1628.841,-5.245,5.666,0.004,0.272,1795.714,2.109,1795.715,89.933,2.143,0.272,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.786,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.998,90,4.413,832.519,0.001,333.973,0.016,8.914e5,15,176.715,0.268,0.692,7.407e-4
463.618,1627.436,1627.436,-5.244,5.638,-0.002,0.088,1795.149,2.109,1795.151,89.933,2.07,0.088,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.651,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.118,90,4.422,832.661,0.001,333.978,0.016,8.91e5,15,176.715,0.268,0.692,7.362e-4
463.886,1626.03,1626.03,-5.245,5.647,0.007,0.341,1794.592,2.109,1794.593,89.933,2.094,0.341,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.869,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.277,90,4.431,832.804,0.001,333.984,0.016,8.917e5,15,176.715,0.268,0.692,7.377e-4
464.154,1624.625,1624.625,-5.243,5.68,-8.202e-4,0.272,1794.018,2.108,1794.02,89.933,2.185,0.272,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.72,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.039,90,4.44,832.946,0.001,333.99,0.016,8.913e5,15,176.715,0.268,0.692,7.431e-4
464.422,1623.22,1623.22,-5.243,5.653,0.026,0.752,1793.443,2.108,1793.444,89.933,2.112,0.751,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,148.502,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.711,90,4.449,833.088,0.001,333.995,0.016,8.937e5,15,176.715,0.268,0.692,7.386e-4
464.69,1621.816,1621.816,-5.236,5.574,-0.025,0.225,1792.904,2.108,1792.905,89.933,1.911,0.223,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.342,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.791,90,4.458,833.23,0.001,334.001,0.016,8.902e5,15,176.715,0.268,0.692,7.26e-4
464.958,1620.411,1620.411,-5.243,5.56,0.01,0.465,1792.399,2.108,1792.4,89.933,1.851,0.465,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.992,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1,90,4.467,833.373,0.001,334.006,0.016,8.922e5,15,176.715,0.268,0.692,7.235e-4
465.226,1619.007,1619.007,-5.24,5.6,-4.744e-4,0.424,1791.887,2.108,1791.888,89.933,1.975,0.424,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.808,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.203,90,4.476,833.515,0.001,334.012,0.016,8.917e5,15,176.715,0.268,0.693,7.302e-4
465.494,1617.602,1617.602,-5.24,5.641,-0.007,0.12,1791.342,2.108,1791.343,89.933,2.089,0.12,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.58,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.025,90,4.486,833.657,0.001,334.017,0.016,8.911e5,15,176.715,0.268,0.693,7.369e-4
465.762,1616.198,1616.198,-5.242,5.631,0.003,0.206,1790.787,2.108,1790.788,89.933,2.057,0.206,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.751,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.168,90,4.495,833.799,0.001,334.023,0.016,8.916e5,15,176.715,0.268,0.693,7.352e-4
466.03,1614.794,1614.794,-5.241,5.651,0.001,0.207,1790.228,2.108,1790.23,89.933,2.112,0.207,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.729,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.002,90,4.504,833.941,0.001,334.028,0.016,8.916e5,15,176.715,0.268,0.693,7.384e-4
466.298,1613.391,1613.391,-5.241,5.63,0.027,0.746,1789.67,2.108,1789.672,89.933,2.057,0.746,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,148.514,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.659,90,4.513,834.083,0.001,334.034,0.016,8.94e5,15,176.715,0.268,0.693,7.35e-4
466.565,1611.988,1611.988,-5.234,5.554,-0.005,0.656,1789.146,2.108,1789.147,89.932,1.857,0.656,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.935,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.208,90,4.522,834.225,0.001,334.039,0.016,8.923e5,15,176.715,0.268,0.693,7.228e-4
466.834,1610.585,1610.585,-5.235,5.616,-0.015,0.316,1788.625,2.108,1788.626,89.932,2.033,0.316,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.52,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.202,90,4.531,834.367,0.001,334.045,0.016,8.911e5,15,176.715,0.268,0.693,7.329e-4
467.102,1609.181,1609.181,-5.239,5.651,0.003,0.37,1788.069,2.108,1788.07,89.932,2.117,0.37,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.829,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.92,90,4.54,834.509,0.001,334.05,0.016,8.92e5,15,176.715,0.268,0.693,7.385e-4
467.369,1607.778,1607.778,-5.238,5.614,-0.005,0.061,1787.515,2.108,1787.516,89.932,2.019,0.061,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.597,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.986,90,4.549,834.651,0.001,334.056,0.016,8.914e5,15,176.715,0.268,0.693,7.325e-4
467.637,1606.375,1606.375,-5.24,5.609,0.002,0.113,1786.977,2.108,1786.978,89.932,2.002,0.113,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.714,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.063,90,4.559,834.793,0.001,334.061,0.016,8.918e5,15,176.715,0.268,0.693,7.317e-4
467.905,1604.973,1604.973,-5.239,5.62,9.293e-4,0.07,1786.437,2.108,1786.438,89.932,2.032,0.07,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.694,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.995,90,4.568,834.935,0.001,334.067,0.016,8.918e5,15,176.715,0.268,0.693,7.334e-4
468.172,1603.571,1603.571,-5.239,5.613,0.003,0.193,1785.895,2.108,1785.896,89.932,2.014,0.193,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.75,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.911,90,4.577,835.077,0.001,334.072,0.016,8.92e5,15,176.715,0.268,0.694,7.323e-4
468.44,1602.169,1602.169,-5.238,5.594,0.014,0.532,1785.363,2.108,1785.364,89.932,1.962,0.531,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,148.102,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.678,90,4.586,835.219,0.001,334.078,0.016,8.931e5,15,176.715,0.268,0.694,7.292e-4
468.708,1600.767,1600.767,-5.235,5.542,-0.012,0.15,1784.857,2.108,1784.858,89.932,1.82,0.149,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.515,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.74,90,4.595,835.361,0.001,334.083,0.016,8.913e5,15,176.715,0.268,0.694,7.209e-4
468.975,1599.365,1599.365,-5.238,5.532,2.919e-4,0.039,1784.375,2.108,1784.376,89.932,1.78,0.039,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.683,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.801,90,4.604,835.503,0.001,334.089,0.016,8.919e5,15,176.715,0.268,0.694,7.191e-4
469.243,1597.963,1597.963,-5.238,5.535,0.009,0.393,1783.897,2.108,1783.899,89.932,1.79,0.393,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.935,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.001,90,4.613,835.645,0.001,334.095,0.016,8.927e5,15,176.715,0.268,0.694,7.197e-4
469.511,1596.562,1596.562,-5.235,5.568,-0.007,0.028,1783.404,2.108,1783.405,89.932,1.896,0.027,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.58,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.881,90,4.622,835.786,0.001,334.1,0.016,8.916e5,15,176.715,0.268,0.694,7.251e-4
469.778,1595.161,1595.161,-5.237,5.567,0.001,0.053,1782.898,2.108,1782.899,89.932,1.888,0.053,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.701,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.86,90,4.631,835.928,0.001,334.106,0.016,8.92e5,15,176.715,0.268,0.694,7.249e-4
470.046,1593.76,1593.76,-5.237,5.562,0.005,0.291,1782.395,2.108,1782.396,89.932,1.874,0.29,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.825,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.719,90,4.641,836.07,0.001,334.111,0.016,8.925e5,15,176.715,0.267,0.694,7.24e-4
470.313,1592.359,1592.359,-5.235,5.535,-0.001,0.178,1781.904,2.108,1781.905,89.932,1.796,0.178,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.681,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.702,90,4.65,836.212,0.001,334.117,0.016,8.921e5,15,176.715,0.268,0.694,7.197e-4
470.581,1590.959,1590.959,-5.236,5.52,0.001,0.176,1781.43,2.108,1781.431,89.932,1.749,0.176,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.721,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.655,90,4.659,836.354,0.001,334.122,0.016,8.922e5,15,176.715,0.267,0.694,7.172e-4
470.848,1589.558,1589.558,-5.235,5.505,-1.853e-4,0.033,1780.968,2.108,1780.969,89.932,1.702,0.033,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.676,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.72,90,4.668,836.495,0.001,334.128,0.016,8.921e5,15,176.715,0.267,0.694,7.148e-4
471.116,1588.158,1588.158,-5.235,5.508,0.001,0.02,1780.512,2.108,1780.513,89.932,1.71,0.02,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.698,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.722,90,4.677,836.637,0.001,334.133,0.016,8.922e5,15,176.715,0.267,0.695,7.152e-4
471.383,1586.758,1586.758,-5.235,5.509,0.001,0.048,1780.054,2.108,1780.055,89.932,1.716,0.048,28.61,-80.582,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.787,0,188.788,-12.586,0,0,147.701,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.691,90,4.686,836.779,0.001,334.139,0.016,8.923e5,15,176.715,0.267,0.695,7.154e-4
