# Sim v1 (Up to date)
# 3375 data points written for 58 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (68,5 m/s):  "Iris Ultra Compact Parachute [Cd 2.2 (16.3 oz) 90.5 in^3]"
#
# Temps (s),Altitude (m),Altitude above sea level (m),Vitesse verticale (m/s),Vitesse totale (m/s),Accélération verticale (m/s²),Accélération totale (m/s²),Position à l'est du lancement (m),Position au nord du lancement (m),Distance latérale (m),Direction latérale (°),Vitesse latérale (m/s),Accélération latérale (m/s²),Latitude (° N),Longitude (° E),Angle d'attaque (°),Taux de roulis (°/s),Taux de tangage (°/s),Taux d'embardée (°/s),Orientation verticale (zénith) (°),Orientation latérale (azimut) (°),Masse (g),Masse du propergol (g),Moment d'inertie longitudinale (kg·m²),Moment d'inertie rotatif (kg·m²),Accélération Gravitationnelle (m/s²),Emplacement du CP (cm),Emplacement du CG (cm),Calibres marge de stabilité (​),Poussée (N),Thrust-to-weight ratio (​),Force de traînée (N),Coefficient de traînée (​),Coefficient de traînée de friction (​),Coefficient de traînée de pression (​),Coefficient de traînée de base (​),Coefficient de trainée axiale (​),Coefficient de force normale (​),Coefficient de moment de tangage (​),Coefficient de moment d'embardée  (​),Coefficient de force latérale  (​),Coefficient de moment de roulis  (​),Coefficient de forçage de roulis (​),Coefficient d'amortissement de roulis (​),Coefficient d'amortissement de tangage (​),Vitesse de vent (m/s),Wind direction (°),Température de l'air (°C),Pression atmosphérique (mbar),Air density (g/cm³),Vitesse du son (m/s),Mach number (​),Nombre de Reynolds (​),Longueur de référence (cm),Surface de référence (cm²),Pas de simulation du temps (s),Temps de calcul (s),Accélération de Coriolis (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.201,0.883,0.883,10.439,10.842,64.065,66.325,0.259,1.359e-7,0.259,90,2.931,17.166,28.61,-80.6,10.708,0,0,0,75,90,2.349e4,1.307e4,6.703,0.083,9.792,NaN,199.774,NaN,1781.364,7.744,0.972,0.554,0.385,0.049,0.12,0.669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.094,90,14.994,1013.146,0.001,340.385,0.034,2.24e6,15,176.715,0.009,0.084,0.001
# Event LAUNCHROD occurred at t=0.21 seconds
0.21,0.982,0.982,11.03,11.454,63.528,66.411,0.287,1.439e-7,0.287,90,3.09,19.355,28.61,-80.6,10.171,0,0,0,75,90,2.348e4,1.306e4,6.702,0.083,9.792,220.025,199.766,1.351,1781.821,7.749,1.061,0.553,0.383,0.049,0.12,0.66,4.093,5.527,-2.237e-4,0,0,0,0,0,2.094,90,14.994,1013.135,0.001,340.385,0.036,2.356e6,15,176.715,0.014,0.085,0.001
0.224,1.141,1.141,11.909,12.373,63.602,66.481,0.331,1.772e-7,0.331,90,3.357,19.353,28.61,-80.6,9.59,0,0.167,3.813e-6,74.999,90,2.347e4,1.304e4,6.7,0.083,9.792,220.664,199.753,1.394,1782.506,7.757,1.209,0.553,0.383,0.049,0.12,0.651,3.823,5.33,4.705e-4,0,0,0,0,2.585e-4,2.093,90,14.993,1013.116,0.001,340.384,0.038,2.532e6,15,176.715,0.021,0.086,0.002
0.245,1.402,1.402,13.23,13.754,63.711,66.586,0.405,3.122e-7,0.405,90,3.759,19.355,28.61,-80.6,8.847,0,0.451,-2.708e-6,74.993,90,2.345e4,1.302e4,6.697,0.083,9.792,221.502,199.734,1.451,1783.533,7.769,1.451,0.553,0.383,0.049,0.12,0.641,3.485,5.056,8.852e-5,0,0,0,0,0.002,2.091,90,14.991,1013.086,0.001,340.383,0.042,2.797e6,15,176.715,0.031,0.087,0.002
0.276,1.845,1.845,15.216,15.829,63.869,66.743,0.532,7.292e-7,0.532,90,4.362,19.375,28.61,-80.6,7.904,0,0.955,2.185e-6,74.971,90,2.341e4,1.299e4,6.693,0.083,9.792,222.604,199.706,1.527,1785.074,7.786,1.852,0.553,0.383,0.049,0.12,0.627,3.065,4.673,1.702e-4,0,0,0,0,0.005,2.076,90,14.988,1013.034,0.001,340.382,0.049,3.194e6,15,176.715,0.047,0.089,0.002
0.323,2.625,2.625,18.203,18.95,64.091,66.976,0.757,1.916e-6,0.757,90,5.268,19.448,28.61,-80.6,6.802,0,1.891,3.435e-5,74.905,90,2.336e4,1.294e4,6.687,0.083,9.792,223.945,199.664,1.619,1787.386,7.813,2.546,0.553,0.383,0.049,0.12,0.611,2.589,4.176,-4.813e-4,0,0,0,0,0.015,2.049,90,14.983,1012.942,0.001,340.379,0.058,3.792e6,15,176.715,0.05,0.09,0.002
0.373,3.615,3.615,21.413,22.305,64.308,67.224,1.044,4.064e-6,1.044,90,6.244,19.583,28.61,-80.6,6.018,0,3.136,6.69e-5,74.781,90,2.331e4,1.288e4,6.68,0.083,9.792,224.939,199.618,1.688,1789.862,7.842,3.43,0.553,0.383,0.049,0.121,0.601,2.26,3.785,-7.202e-5,0,0,0,0,0.03,2.078,90,14.977,1012.826,0.001,340.375,0.067,4.441e6,15,176.715,0.05,0.091,0.003
0.423,4.766,4.766,24.633,25.672,64.498,67.469,1.381,7.272e-6,1.381,90,7.228,19.802,28.61,-80.6,5.429,0,4.676,1.476e-4,74.587,90,2.325e4,1.283e4,6.673,0.083,9.792,225.708,199.572,1.742,1792.337,7.871,4.459,0.553,0.383,0.05,0.121,0.593,2.018,3.466,1.905e-4,0,0,0,0,0.05,2.151,90,14.969,1012.691,0.001,340.37,0.077,5.094e6,15,176.715,0.024,0.093,0.003
0.447,5.386,5.386,26.206,27.317,64.577,67.59,1.563,9.265e-6,1.563,90,7.712,19.955,28.61,-80.6,5.123,0,5.524,1.427e-4,74.463,90,2.323e4,1.28e4,6.67,0.083,9.792,226.115,199.549,1.771,1793.544,7.885,5.002,0.553,0.383,0.05,0.121,0.589,1.894,3.292,-2.831e-4,0,0,0,0,0.062,2.17,90,14.965,1012.618,0.001,340.368,0.082,5.413e6,15,176.715,0.037,0.095,0.004
