# Sim v1 (Up to date)
# 3372 data points written for 12 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (68,9 m/s):  "Iris Ultra Compact Parachute [Cd 2.2 (16.3 oz) 90.5 in^3]"
#
# Temps (s),Altitude (m),Vitesse totale (m/s),Masse (g),Emplacement du CP (cm),Emplacement du CG (cm),Calibres marge de stabilité (​),Coefficient de force normale (​),Température de l'air (°C),Pression atmosphérique (mbar),Air density (g/cm³),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
368.21,2125.676,5.728,1.509e4,0,188.788,-12.586,NaN,1.183,782.855,9.941e-4,0.016
368.485,2124.199,5.751,1.509e4,0,188.788,-12.586,NaN,1.193,782.998,9.943e-4,0.016
368.76,2122.722,5.779,1.509e4,0,188.788,-12.586,NaN,1.202,783.14,9.944e-4,0.016
369.035,2121.245,5.747,1.509e4,0,188.788,-12.586,NaN,1.212,783.282,9.946e-4,0.016
369.309,2119.768,5.707,1.509e4,0,188.788,-12.586,NaN,1.222,783.424,9.947e-4,0.016
369.809,2117.081,5.648,1.509e4,0,188.788,-12.586,NaN,1.239,783.683,9.95e-4,0.016
370.084,2115.606,5.691,1.509e4,0,188.788,-12.586,NaN,1.249,783.825,9.951e-4,0.016
370.359,2114.129,5.694,1.509e4,0,188.788,-12.586,NaN,1.258,783.967,9.953e-4,0.016
370.633,2112.654,5.697,1.509e4,0,188.788,-12.586,NaN,1.268,784.109,9.954e-4,0.016
370.908,2111.178,5.704,1.509e4,0,188.788,-12.586,NaN,1.277,784.251,9.956e-4,0.016
371.183,2109.703,5.733,1.509e4,0,188.788,-12.586,NaN,1.287,784.393,9.957e-4,0.016
371.457,2108.228,5.748,1.509e4,0,188.788,-12.586,NaN,1.297,784.535,9.958e-4,0.016
371.732,2106.753,5.739,1.509e4,0,188.788,-12.586,NaN,1.306,784.677,9.96e-4,0.016
372.006,2105.278,5.74,1.509e4,0,188.788,-12.586,NaN,1.316,784.819,9.961e-4,0.016
372.281,2103.804,5.754,1.509e4,0,188.788,-12.586,NaN,1.325,784.961,9.963e-4,0.016
372.555,2102.33,5.771,1.509e4,0,188.788,-12.586,NaN,1.335,785.102,9.964e-4,0.016
372.829,2100.856,5.794,1.509e4,0,188.788,-12.586,NaN,1.344,785.244,9.966e-4,0.016
373.104,2099.382,5.803,1.509e4,0,188.788,-12.586,NaN,1.354,785.386,9.967e-4,0.016
373.378,2097.909,5.801,1.509e4,0,188.788,-12.586,NaN,1.364,785.528,9.969e-4,0.016
373.653,2096.435,5.801,1.509e4,0,188.788,-12.586,NaN,1.373,785.67,9.97e-4,0.016
373.927,2094.963,5.769,1.509e4,0,188.788,-12.586,NaN,1.383,785.812,9.972e-4,0.016
374.201,2093.49,5.733,1.509e4,0,188.788,-12.586,NaN,1.392,785.953,9.973e-4,0.016
374.476,2092.018,5.67,1.509e4,0,188.788,-12.586,NaN,1.402,786.095,9.974e-4,0.016
374.75,2090.544,5.68,1.509e4,0,188.788,-12.586,NaN,1.411,786.237,9.976e-4,0.016
375.025,2089.073,5.643,1.509e4,0,188.788,-12.586,NaN,1.421,786.379,9.977e-4,0.016
375.299,2087.6,5.633,1.509e4,0,188.788,-12.586,NaN,1.431,786.52,9.979e-4,0.016
375.573,2086.128,5.633,1.509e4,0,188.788,-12.586,NaN,1.44,786.662,9.98e-4,0.016
375.847,2084.657,5.629,1.509e4,0,188.788,-12.586,NaN,1.45,786.804,9.982e-4,0.016
376.122,2083.185,5.63,1.509e4,0,188.788,-12.586,NaN,1.459,786.945,9.983e-4,0.016
376.396,2081.715,5.676,1.509e4,0,188.788,-12.586,NaN,1.469,787.087,9.985e-4,0.016
376.67,2080.244,5.732,1.509e4,0,188.788,-12.586,NaN,1.478,787.228,9.986e-4,0.016
376.944,2078.773,5.743,1.509e4,0,188.788,-12.586,NaN,1.488,787.37,9.987e-4,0.016
377.219,2077.302,5.722,1.509e4,0,188.788,-12.586,NaN,1.498,787.511,9.989e-4,0.016
377.493,2075.832,5.744,1.509e4,0,188.788,-12.586,NaN,1.507,787.653,9.99e-4,0.016
377.767,2074.362,5.7,1.509e4,0,188.788,-12.586,NaN,1.517,787.794,9.992e-4,0.016
378.041,2072.892,5.719,1.509e4,0,188.788,-12.586,NaN,1.526,787.936,9.993e-4,0.016
378.315,2071.422,5.742,1.509e4,0,188.788,-12.586,NaN,1.536,788.077,9.995e-4,0.016
378.589,2069.953,5.753,1.509e4,0,188.788,-12.586,NaN,1.545,788.219,9.996e-4,0.016
378.863,2068.484,5.754,1.509e4,0,188.788,-12.586,NaN,1.555,788.36,9.998e-4,0.016
379.137,2067.015,5.725,1.509e4,0,188.788,-12.586,NaN,1.564,788.502,9.999e-4,0.016
379.411,2065.546,5.706,1.509e4,0,188.788,-12.586,NaN,1.574,788.643,0.001,0.016
379.685,2064.078,5.751,1.509e4,0,188.788,-12.586,NaN,1.583,788.784,0.001,0.016
379.959,2062.609,5.742,1.509e4,0,188.788,-12.586,NaN,1.593,788.926,0.001,0.016
380.233,2061.141,5.752,1.509e4,0,188.788,-12.586,NaN,1.603,789.067,0.001,0.016
380.507,2059.673,5.681,1.509e4,0,188.788,-12.586,NaN,1.612,789.208,0.001,0.016
380.781,2058.205,5.636,1.509e4,0,188.788,-12.586,NaN,1.622,789.35,0.001,0.016
381.055,2056.737,5.632,1.509e4,0,188.788,-12.586,NaN,1.631,789.491,0.001,0.016
381.329,2055.271,5.691,1.509e4,0,188.788,-12.586,NaN,1.641,789.632,0.001,0.016
381.603,2053.803,5.719,1.509e4,0,188.788,-12.586,NaN,1.65,789.773,0.001,0.016
381.877,2052.336,5.696,1.509e4,0,188.788,-12.586,NaN,1.66,789.915,0.001,0.016
382.15,2050.87,5.652,1.509e4,0,188.788,-12.586,NaN,1.669,790.056,0.001,0.016
382.424,2049.403,5.63,1.509e4,0,188.788,-12.586,NaN,1.679,790.197,0.001,0.016
382.698,2047.936,5.631,1.509e4,0,188.788,-12.586,NaN,1.688,790.338,0.001,0.016
382.972,2046.471,5.611,1.509e4,0,188.788,-12.586,NaN,1.698,790.479,0.001,0.016
383.245,2045.005,5.61,1.509e4,0,188.788,-12.586,NaN,1.707,790.62,0.001,0.016
383.519,2043.539,5.597,1.509e4,0,188.788,-12.586,NaN,1.717,790.761,0.001,0.016
383.793,2042.074,5.597,1.509e4,0,188.788,-12.586,NaN,1.727,790.902,0.001,0.016
384.066,2040.608,5.608,1.509e4,0,188.788,-12.586,NaN,1.736,791.043,0.001,0.016
384.34,2039.143,5.622,1.509e4,0,188.788,-12.586,NaN,1.746,791.184,0.001,0.016
384.614,2037.679,5.648,1.509e4,0,188.788,-12.586,NaN,1.755,791.325,0.001,0.016
384.887,2036.214,5.65,1.509e4,0,188.788,-12.586,NaN,1.765,791.466,0.001,0.016
385.161,2034.75,5.684,1.509e4,0,188.788,-12.586,NaN,1.774,791.607,0.001,0.016
385.434,2033.286,5.711,1.509e4,0,188.788,-12.586,NaN,1.784,791.748,0.001,0.016
385.708,2031.822,5.679,1.509e4,0,188.788,-12.586,NaN,1.793,791.889,0.001,0.016
385.981,2030.358,5.662,1.509e4,0,188.788,-12.586,NaN,1.803,792.03,0.001,0.016
386.255,2028.894,5.66,1.509e4,0,188.788,-12.586,NaN,1.812,792.171,0.001,0.016
386.528,2027.432,5.721,1.509e4,0,188.788,-12.586,NaN,1.822,792.312,0.001,0.016
386.802,2025.968,5.75,1.509e4,0,188.788,-12.586,NaN,1.831,792.453,0.001,0.016
387.075,2024.505,5.762,1.509e4,0,188.788,-12.586,NaN,1.841,792.593,0.001,0.016
387.349,2023.042,5.794,1.509e4,0,188.788,-12.586,NaN,1.85,792.734,0.001,0.016
387.622,2021.58,5.736,1.509e4,0,188.788,-12.586,NaN,1.86,792.875,0.001,0.016
387.896,2020.117,5.722,1.509e4,0,188.788,-12.586,NaN,1.869,793.016,0.001,0.016
388.169,2018.655,5.686,1.509e4,0,188.788,-12.586,NaN,1.879,793.156,0.001,0.016
388.443,2017.193,5.709,1.509e4,0,188.788,-12.586,NaN,1.888,793.297,0.001,0.016
388.716,2015.732,5.731,1.509e4,0,188.788,-12.586,NaN,1.898,793.438,0.001,0.016
388.989,2014.27,5.76,1.509e4,0,188.788,-12.586,NaN,1.907,793.579,0.001,0.016
389.262,2012.81,5.827,1.509e4,0,188.788,-12.586,NaN,1.917,793.719,0.001,0.016
389.536,2011.348,5.806,1.509e4,0,188.788,-12.586,NaN,1.926,793.86,0.001,0.016
389.809,2009.887,5.783,1.509e4,0,188.788,-12.586,NaN,1.936,794,0.001,0.016
390.082,2008.427,5.786,1.509e4,0,188.788,-12.586,NaN,1.945,794.141,0.001,0.016
390.356,2006.967,5.738,1.509e4,0,188.788,-12.586,NaN,1.955,794.282,0.001,0.016
390.629,2005.506,5.688,1.509e4,0,188.788,-12.586,NaN,1.964,794.422,0.001,0.016
390.902,2004.046,5.677,1.509e4,0,188.788,-12.586,NaN,1.974,794.563,0.001,0.016
391.175,2002.586,5.644,1.509e4,0,188.788,-12.586,NaN,1.983,794.703,0.001,0.016
391.448,2001.127,5.628,1.509e4,0,188.788,-12.586,NaN,1.993,794.844,0.001,0.016
391.721,1999.667,5.608,1.509e4,0,188.788,-12.586,NaN,2.002,794.986,0.001,0.016
391.994,1998.208,5.605,1.509e4,0,188.788,-12.586,NaN,2.012,795.133,0.001,0.016
392.267,1996.749,5.616,1.509e4,0,188.788,-12.586,NaN,2.021,795.281,0.001,0.016
392.54,1995.291,5.649,1.509e4,0,188.788,-12.586,NaN,2.031,795.429,0.001,0.016
392.814,1993.833,5.704,1.509e4,0,188.788,-12.586,NaN,2.04,795.576,0.001,0.016
393.087,1992.374,5.742,1.509e4,0,188.788,-12.586,NaN,2.05,795.724,0.001,0.016
393.36,1990.916,5.711,1.509e4,0,188.788,-12.586,NaN,2.059,795.872,0.001,0.016
393.633,1989.458,5.74,1.509e4,0,188.788,-12.586,NaN,2.069,796.019,0.001,0.016
393.906,1988,5.727,1.509e4,0,188.788,-12.586,NaN,2.078,796.167,0.001,0.016
394.179,1986.543,5.722,1.509e4,0,188.788,-12.586,NaN,2.087,796.314,0.001,0.016
394.451,1985.086,5.734,1.509e4,0,188.788,-12.586,NaN,2.097,796.462,0.001,0.016
394.724,1983.629,5.736,1.509e4,0,188.788,-12.586,NaN,2.106,796.609,0.001,0.016
394.997,1982.172,5.732,1.509e4,0,188.788,-12.586,NaN,2.116,796.757,0.001,0.016
395.27,1980.716,5.694,1.509e4,0,188.788,-12.586,NaN,2.125,796.904,0.001,0.016
395.543,1979.259,5.703,1.509e4,0,188.788,-12.586,NaN,2.135,797.051,0.001,0.016
395.816,1977.803,5.693,1.509e4,0,188.788,-12.586,NaN,2.144,797.199,0.001,0.016
396.088,1976.347,5.677,1.509e4,0,188.788,-12.586,NaN,2.154,797.346,0.001,0.016
396.361,1974.892,5.675,1.509e4,0,188.788,-12.586,NaN,2.163,797.493,0.001,0.016
396.634,1973.436,5.699,1.509e4,0,188.788,-12.586,NaN,2.173,797.641,0.001,0.016
396.906,1971.981,5.678,1.509e4,0,188.788,-12.586,NaN,2.182,797.788,0.001,0.016
397.179,1970.526,5.672,1.509e4,0,188.788,-12.586,NaN,2.192,797.935,0.001,0.016
397.452,1969.071,5.691,1.509e4,0,188.788,-12.586,NaN,2.201,798.083,0.001,0.016
397.724,1967.617,5.744,1.509e4,0,188.788,-12.586,NaN,2.21,798.23,0.001,0.016
397.997,1966.163,5.782,1.509e4,0,188.788,-12.586,NaN,2.22,798.377,0.001,0.016
398.27,1964.71,5.681,1.509e4,0,188.788,-12.586,NaN,2.229,798.524,0.001,0.016
398.543,1963.255,5.632,1.509e4,0,188.788,-12.586,NaN,2.239,798.671,0.001,0.016
398.816,1961.801,5.663,1.509e4,0,188.788,-12.586,NaN,2.248,798.818,0.001,0.016
399.088,1960.348,5.689,1.509e4,0,188.788,-12.586,NaN,2.258,798.966,0.001,0.016
399.361,1958.895,5.737,1.509e4,0,188.788,-12.586,NaN,2.267,799.113,0.001,0.016
399.633,1957.441,5.755,1.509e4,0,188.788,-12.586,NaN,2.277,799.26,0.001,0.016
399.906,1955.989,5.8,1.509e4,0,188.788,-12.586,NaN,2.286,799.407,0.001,0.016
400.178,1954.536,5.825,1.509e4,0,188.788,-12.586,NaN,2.296,799.554,0.001,0.016
400.451,1953.083,5.805,1.509e4,0,188.788,-12.586,NaN,2.305,799.701,0.001,0.016
400.723,1951.631,5.791,1.509e4,0,188.788,-12.586,NaN,2.314,799.848,0.001,0.016
400.996,1950.179,5.76,1.509e4,0,188.788,-12.586,NaN,2.324,799.995,0.001,0.016
401.268,1948.728,5.727,1.509e4,0,188.788,-12.586,NaN,2.333,800.142,0.001,0.016
401.54,1947.276,5.731,1.509e4,0,188.788,-12.586,NaN,2.343,800.289,0.001,0.016
401.813,1945.826,5.793,1.509e4,0,188.788,-12.586,NaN,2.352,800.435,0.001,0.016
402.085,1944.374,5.764,1.509e4,0,188.788,-12.586,NaN,2.362,800.582,0.001,0.016
402.358,1942.923,5.743,1.509e4,0,188.788,-12.586,NaN,2.371,800.729,0.001,0.016
402.63,1941.473,5.708,1.509e4,0,188.788,-12.586,NaN,2.38,800.876,0.001,0.016
402.902,1940.022,5.709,1.509e4,0,188.788,-12.586,NaN,2.39,801.023,0.001,0.016
403.174,1938.572,5.735,1.509e4,0,188.788,-12.586,NaN,2.399,801.17,0.001,0.016
403.447,1937.122,5.732,1.509e4,0,188.788,-12.586,NaN,2.409,801.316,0.001,0.016
403.719,1935.672,5.702,1.509e4,0,188.788,-12.586,NaN,2.418,801.463,0.001,0.016
403.991,1934.223,5.633,1.509e4,0,188.788,-12.586,NaN,2.428,801.61,0.001,0.016
404.263,1932.773,5.605,1.509e4,0,188.788,-12.586,NaN,2.437,801.757,0.001,0.016
404.535,1931.324,5.639,1.509e4,0,188.788,-12.586,NaN,2.446,801.903,0.001,0.016
404.808,1929.875,5.635,1.509e4,0,188.788,-12.586,NaN,2.456,802.05,0.001,0.016
405.08,1928.426,5.627,1.509e4,0,188.788,-12.586,NaN,2.465,802.196,0.001,0.016
405.352,1926.978,5.605,1.509e4,0,188.788,-12.586,NaN,2.475,802.343,0.001,0.016
405.624,1925.53,5.631,1.509e4,0,188.788,-12.586,NaN,2.484,802.49,0.001,0.016
405.896,1924.083,5.692,1.509e4,0,188.788,-12.586,NaN,2.493,802.636,0.001,0.016
406.168,1922.634,5.723,1.509e4,0,188.788,-12.586,NaN,2.503,802.783,0.001,0.016
406.44,1921.186,5.707,1.509e4,0,188.788,-12.586,NaN,2.512,802.929,0.001,0.016
406.712,1919.74,5.644,1.509e4,0,188.788,-12.586,NaN,2.522,803.076,0.001,0.016
406.984,1918.292,5.648,1.509e4,0,188.788,-12.586,NaN,2.531,803.222,0.001,0.016
407.256,1916.845,5.694,1.509e4,0,188.788,-12.586,NaN,2.541,803.369,0.001,0.016
407.528,1915.398,5.681,1.509e4,0,188.788,-12.586,NaN,2.55,803.515,0.001,0.016
407.8,1913.951,5.675,1.509e4,0,188.788,-12.586,NaN,2.559,803.662,0.001,0.016
408.072,1912.505,5.635,1.509e4,0,188.788,-12.586,NaN,2.569,803.808,0.001,0.016
408.344,1911.059,5.629,1.509e4,0,188.788,-12.586,NaN,2.578,803.954,0.001,0.016
408.616,1909.613,5.647,1.509e4,0,188.788,-12.586,NaN,2.588,804.101,0.001,0.016
408.887,1908.167,5.652,1.509e4,0,188.788,-12.586,NaN,2.597,804.247,0.001,0.016
409.159,1906.722,5.661,1.509e4,0,188.788,-12.586,NaN,2.606,804.393,0.001,0.016
409.431,1905.277,5.696,1.509e4,0,188.788,-12.586,NaN,2.616,804.54,0.001,0.016
409.703,1903.832,5.739,1.509e4,0,188.788,-12.586,NaN,2.625,804.686,0.001,0.016
409.975,1902.387,5.746,1.509e4,0,188.788,-12.586,NaN,2.634,804.832,0.001,0.016
410.246,1900.942,5.747,1.509e4,0,188.788,-12.586,NaN,2.644,804.978,0.001,0.016
410.518,1899.498,5.775,1.509e4,0,188.788,-12.586,NaN,2.653,805.125,0.001,0.016
410.79,1898.054,5.724,1.509e4,0,188.788,-12.586,NaN,2.663,805.271,0.001,0.016
411.061,1896.61,5.674,1.509e4,0,188.788,-12.586,NaN,2.672,805.417,0.001,0.016
411.333,1895.166,5.655,1.509e4,0,188.788,-12.586,NaN,2.681,805.563,0.001,0.016
411.605,1893.723,5.694,1.509e4,0,188.788,-12.586,NaN,2.691,805.709,0.001,0.016
411.876,1892.279,5.722,1.509e4,0,188.788,-12.586,NaN,2.7,805.855,0.001,0.016
412.148,1890.836,5.748,1.509e4,0,188.788,-12.586,NaN,2.71,806.001,0.001,0.016
412.419,1889.393,5.713,1.509e4,0,188.788,-12.586,NaN,2.719,806.147,0.001,0.016
412.691,1887.95,5.715,1.509e4,0,188.788,-12.586,NaN,2.728,806.293,0.001,0.016
412.962,1886.508,5.708,1.509e4,0,188.788,-12.586,NaN,2.738,806.439,0.001,0.016
413.234,1885.066,5.648,1.509e4,0,188.788,-12.586,NaN,2.747,806.585,0.001,0.016
413.506,1883.624,5.634,1.509e4,0,188.788,-12.586,NaN,2.756,806.731,0.001,0.016
413.777,1882.182,5.634,1.509e4,0,188.788,-12.586,NaN,2.766,806.877,0.001,0.016
414.048,1880.74,5.675,1.509e4,0,188.788,-12.586,NaN,2.775,807.023,0.001,0.016
414.32,1879.299,5.646,1.509e4,0,188.788,-12.586,NaN,2.785,807.169,0.001,0.016
414.591,1877.857,5.64,1.509e4,0,188.788,-12.586,NaN,2.794,807.315,0.001,0.016
414.863,1876.416,5.656,1.509e4,0,188.788,-12.586,NaN,2.803,807.461,0.001,0.016
415.134,1874.976,5.655,1.509e4,0,188.788,-12.586,NaN,2.813,807.607,0.001,0.016
415.405,1873.535,5.653,1.509e4,0,188.788,-12.586,NaN,2.822,807.752,0.001,0.016
415.677,1872.095,5.656,1.509e4,0,188.788,-12.586,NaN,2.831,807.898,0.001,0.016
415.948,1870.655,5.612,1.509e4,0,188.788,-12.586,NaN,2.841,808.044,0.001,0.016
416.219,1869.215,5.644,1.509e4,0,188.788,-12.586,NaN,2.85,808.19,0.001,0.016
416.49,1867.776,5.703,1.509e4,0,188.788,-12.586,NaN,2.859,808.335,0.001,0.016
416.762,1866.336,5.751,1.509e4,0,188.788,-12.586,NaN,2.869,808.481,0.001,0.016
417.033,1864.896,5.76,1.509e4,0,188.788,-12.586,NaN,2.878,808.627,0.001,0.016
417.304,1863.457,5.75,1.509e4,0,188.788,-12.586,NaN,2.888,808.772,0.001,0.016
417.576,1862.018,5.737,1.509e4,0,188.788,-12.586,NaN,2.897,808.918,0.001,0.016
417.847,1860.579,5.704,1.509e4,0,188.788,-12.586,NaN,2.906,809.064,0.001,0.016
418.118,1859.141,5.692,1.509e4,0,188.788,-12.586,NaN,2.916,809.209,0.001,0.016
418.389,1857.703,5.711,1.509e4,0,188.788,-12.586,NaN,2.925,809.355,0.001,0.016
418.66,1856.264,5.699,1.509e4,0,188.788,-12.586,NaN,2.934,809.5,0.001,0.016
418.931,1854.827,5.721,1.509e4,0,188.788,-12.586,NaN,2.944,809.646,0.001,0.016
419.202,1853.389,5.718,1.509e4,0,188.788,-12.586,NaN,2.953,809.791,0.001,0.016
419.473,1851.952,5.716,1.509e4,0,188.788,-12.586,NaN,2.962,809.937,0.001,0.016
419.744,1850.515,5.644,1.509e4,0,188.788,-12.586,NaN,2.972,810.082,0.001,0.016
420.015,1849.078,5.601,1.509e4,0,188.788,-12.586,NaN,2.981,810.228,0.001,0.016
420.286,1847.641,5.653,1.509e4,0,188.788,-12.586,NaN,2.99,810.373,0.001,0.016
420.558,1846.204,5.685,1.509e4,0,188.788,-12.586,NaN,3,810.519,0.001,0.016
420.828,1844.768,5.684,1.509e4,0,188.788,-12.586,NaN,3.009,810.664,0.001,0.016
421.099,1843.331,5.681,1.509e4,0,188.788,-12.586,NaN,3.018,810.809,0.001,0.016
421.37,1841.895,5.661,1.509e4,0,188.788,-12.586,NaN,3.028,810.955,0.001,0.016
421.641,1840.46,5.608,1.509e4,0,188.788,-12.586,NaN,3.037,811.1,0.001,0.016
421.912,1839.024,5.601,1.509e4,0,188.788,-12.586,NaN,3.046,811.245,0.001,0.016
422.183,1837.589,5.641,1.509e4,0,188.788,-12.586,NaN,3.056,811.391,0.001,0.016
422.454,1836.154,5.679,1.509e4,0,188.788,-12.586,NaN,3.065,811.536,0.001,0.016
422.725,1834.719,5.673,1.509e4,0,188.788,-12.586,NaN,3.074,811.681,0.001,0.016
422.995,1833.284,5.711,1.509e4,0,188.788,-12.586,NaN,3.084,811.826,0.001,0.016
423.266,1831.85,5.696,1.509e4,0,188.788,-12.586,NaN,3.093,811.972,0.001,0.016
423.537,1830.416,5.627,1.509e4,0,188.788,-12.586,NaN,3.102,812.117,0.001,0.016
423.808,1828.981,5.651,1.509e4,0,188.788,-12.586,NaN,3.112,812.262,0.001,0.016
424.079,1827.547,5.624,1.509e4,0,188.788,-12.586,NaN,3.121,812.407,0.001,0.016
424.349,1826.114,5.605,1.509e4,0,188.788,-12.586,NaN,3.13,812.552,0.001,0.016
424.62,1824.68,5.62,1.509e4,0,188.788,-12.586,NaN,3.14,812.697,0.001,0.016
424.89,1823.247,5.664,1.509e4,0,188.788,-12.586,NaN,3.149,812.842,0.001,0.016
425.161,1821.814,5.695,1.509e4,0,188.788,-12.586,NaN,3.158,812.987,0.001,0.016
425.432,1820.381,5.7,1.509e4,0,188.788,-12.586,NaN,3.168,813.132,0.001,0.016
425.702,1818.948,5.677,1.509e4,0,188.788,-12.586,NaN,3.177,813.277,0.001,0.016
425.973,1817.516,5.649,1.509e4,0,188.788,-12.586,NaN,3.186,813.422,0.001,0.016
426.243,1816.084,5.655,1.509e4,0,188.788,-12.586,NaN,3.195,813.567,0.001,0.016
426.514,1814.652,5.644,1.509e4,0,188.788,-12.586,NaN,3.205,813.712,0.001,0.016
426.784,1813.22,5.69,1.509e4,0,188.788,-12.586,NaN,3.214,813.857,0.001,0.016
427.055,1811.788,5.695,1.509e4,0,188.788,-12.586,NaN,3.223,814.002,0.001,0.016
427.325,1810.357,5.666,1.509e4,0,188.788,-12.586,NaN,3.233,814.147,0.001,0.016
427.596,1808.926,5.66,1.509e4,0,188.788,-12.586,NaN,3.242,814.292,0.001,0.016
427.866,1807.495,5.667,1.509e4,0,188.788,-12.586,NaN,3.251,814.437,0.001,0.016
428.137,1806.065,5.715,1.509e4,0,188.788,-12.586,NaN,3.261,814.581,0.001,0.016
428.407,1804.633,5.716,1.509e4,0,188.788,-12.586,NaN,3.27,814.726,0.001,0.016
428.677,1803.203,5.752,1.509e4,0,188.788,-12.586,NaN,3.279,814.871,0.001,0.016
428.948,1801.773,5.701,1.509e4,0,188.788,-12.586,NaN,3.288,815.016,0.001,0.016
429.218,1800.343,5.656,1.509e4,0,188.788,-12.586,NaN,3.298,815.161,0.001,0.016
429.489,1798.914,5.606,1.509e4,0,188.788,-12.586,NaN,3.307,815.305,0.001,0.016
429.759,1797.484,5.602,1.509e4,0,188.788,-12.586,NaN,3.316,815.45,0.001,0.016
430.029,1796.055,5.559,1.509e4,0,188.788,-12.586,NaN,3.326,815.595,0.001,0.016
430.3,1794.625,5.562,1.509e4,0,188.788,-12.586,NaN,3.335,815.739,0.001,0.016
430.57,1793.197,5.585,1.509e4,0,188.788,-12.586,NaN,3.344,815.884,0.001,0.016
430.84,1791.768,5.627,1.509e4,0,188.788,-12.586,NaN,3.354,816.028,0.001,0.016
431.11,1790.339,5.647,1.509e4,0,188.788,-12.586,NaN,3.363,816.173,0.001,0.016
431.381,1788.911,5.687,1.509e4,0,188.788,-12.586,NaN,3.372,816.318,0.001,0.016
431.651,1787.483,5.703,1.509e4,0,188.788,-12.586,NaN,3.381,816.462,0.001,0.016
431.921,1786.055,5.669,1.509e4,0,188.788,-12.586,NaN,3.391,816.607,0.001,0.016
432.191,1784.628,5.592,1.509e4,0,188.788,-12.586,NaN,3.4,816.751,0.001,0.016
432.462,1783.2,5.622,1.509e4,0,188.788,-12.586,NaN,3.409,816.896,0.001,0.016
432.732,1781.773,5.599,1.509e4,0,188.788,-12.586,NaN,3.418,817.04,0.001,0.016
433.002,1780.346,5.626,1.509e4,0,188.788,-12.586,NaN,3.428,817.185,0.001,0.016
433.272,1778.919,5.647,1.509e4,0,188.788,-12.586,NaN,3.437,817.329,0.001,0.016
433.542,1777.492,5.643,1.509e4,0,188.788,-12.586,NaN,3.446,817.473,0.001,0.016
433.812,1776.066,5.597,1.509e4,0,188.788,-12.586,NaN,3.456,817.618,0.001,0.016
434.082,1774.639,5.582,1.509e4,0,188.788,-12.586,NaN,3.465,817.762,0.001,0.016
434.582,1771.998,5.597,1.509e4,0,188.788,-12.586,NaN,3.482,818.03,0.001,0.016
434.852,1770.572,5.582,1.509e4,0,188.788,-12.586,NaN,3.491,818.174,0.001,0.016
435.121,1769.146,5.587,1.509e4,0,188.788,-12.586,NaN,3.501,818.318,0.001,0.016
435.391,1767.721,5.575,1.509e4,0,188.788,-12.586,NaN,3.51,818.462,0.001,0.016
435.661,1766.296,5.598,1.509e4,0,188.788,-12.586,NaN,3.519,818.607,0.001,0.016
435.931,1764.871,5.614,1.509e4,0,188.788,-12.586,NaN,3.528,818.751,0.001,0.016
436.201,1763.447,5.606,1.509e4,0,188.788,-12.586,NaN,3.538,818.895,0.001,0.016
436.471,1762.022,5.617,1.509e4,0,188.788,-12.586,NaN,3.547,819.039,0.001,0.016
436.74,1760.598,5.602,1.509e4,0,188.788,-12.586,NaN,3.556,819.183,0.001,0.016
437.01,1759.174,5.616,1.509e4,0,188.788,-12.586,NaN,3.565,819.328,0.001,0.016
437.51,1756.534,5.612,1.509e4,0,188.788,-12.586,NaN,3.583,819.595,0.001,0.016
437.78,1755.111,5.661,1.509e4,0,188.788,-12.586,NaN,3.592,819.739,0.001,0.016
438.05,1753.688,5.673,1.509e4,0,188.788,-12.586,NaN,3.601,819.883,0.001,0.016
438.319,1752.265,5.669,1.509e4,0,188.788,-12.586,NaN,3.61,820.027,0.001,0.016
438.589,1750.842,5.646,1.509e4,0,188.788,-12.586,NaN,3.62,820.171,0.001,0.016
438.858,1749.419,5.633,1.509e4,0,188.788,-12.586,NaN,3.629,820.315,0.001,0.016
439.128,1747.997,5.61,1.509e4,0,188.788,-12.586,NaN,3.638,820.459,0.001,0.016
439.398,1746.575,5.664,1.509e4,0,188.788,-12.586,NaN,3.647,820.603,0.001,0.016
439.667,1745.153,5.727,1.509e4,0,188.788,-12.586,NaN,3.657,820.747,0.001,0.016
439.937,1743.731,5.775,1.509e4,0,188.788,-12.586,NaN,3.666,820.891,0.001,0.016
440.207,1742.309,5.81,1.509e4,0,188.788,-12.586,NaN,3.675,821.035,0.001,0.016
440.476,1740.887,5.813,1.509e4,0,188.788,-12.586,NaN,3.684,821.178,0.001,0.016
440.746,1739.466,5.826,1.509e4,0,188.788,-12.586,NaN,3.693,821.322,0.001,0.016
441.015,1738.045,5.774,1.509e4,0,188.788,-12.586,NaN,3.703,821.466,0.001,0.016
441.285,1736.626,5.664,1.509e4,0,188.788,-12.586,NaN,3.712,821.61,0.001,0.016
441.555,1735.205,5.594,1.509e4,0,188.788,-12.586,NaN,3.721,821.754,0.001,0.016
441.825,1733.783,5.572,1.509e4,0,188.788,-12.586,NaN,3.73,821.897,0.001,0.016
442.094,1732.363,5.606,1.509e4,0,188.788,-12.586,NaN,3.74,822.041,0.001,0.016
442.363,1730.944,5.662,1.509e4,0,188.788,-12.586,NaN,3.749,822.185,0.001,0.016
